CIK,FILINGMANAGER_NAME,PERIODOFREPORT,FILING_DATE,SUBMISSIONTYPE,ISAMENDMENT,TABLEVALUETOTAL,TABLEENTRYTOTAL,ISCONFIDENTIALOMITTED,NAMEOFISSUER,CUSIP,TITLEOFCLASS,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,INVESTMENTDISCRETION,weight
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,***BP P L C SPONSORED ADR (FRM,55622104,COM,392000,6864,SH,SOLE,0.001737696
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,3M COMPANY,88579Y101,COM,440000,5267,SH,SOLE,0.001950476
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,ABBOTT LABORATORIES,2824100,COM,7940000,150715,SH,SOLE,0.03519722
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,AT&T INC,00206R102,COM,392000,15176,SH,SOLE,0.001737696
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,AUTOMATIC DATA PROCESSING INC,53015103,COM,793000,17835,SH,SOLE,0.003515289
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,BANK OF AMER CORP,60505104,COM,3778000,211629,SH,SOLE,0.016747493
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,BARCLAYS PLC ADR,6.74E+207,COM,475000,21850,SH,SOLE,0.002105627
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,BAXTER INTL,71813109,COM,995000,17100,SH,SOLE,0.004410735
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,BCE INC,05534B760,COM,242000,8250,SH,SOLE,0.001072762
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,BECTON DICKINSON & CO,75887109,COM,1034000,13133,SH,SOLE,0.004583618
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,BERKSHIRE HATHAWAY INC CL B,84670702,COM,1873000,23050,SH,SOLE,0.00830282
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,BOEING,97023105,COM,1740000,23967,SH,SOLE,0.007713245
