PERIODOFREPORT,num_institutions
2013-03-31,27
2013-06-30,1181
2013-09-30,1213
2013-12-31,1372
2014-03-31,1391
2014-06-30,1415
2014-09-30,1427
2014-12-31,1568
2015-03-31,1585
2015-06-30,1614
2015-09-30,1640
2015-12-31,1707
2016-03-31,1750
2016-06-30,1761
2016-09-30,1766
2016-12-31,1894
2017-03-31,1933
2017-06-30,1958
2017-09-30,1985
2017-12-31,2218
2018-03-31,2270
2018-06-30,2306
2018-09-30,2331
2018-12-31,2561
2019-03-31,2591
2019-06-30,2621
2019-09-30,2658
2019-12-31,2962
2020-03-31,2966
2020-06-30,3008
2020-09-30,3035
2020-12-31,3045
2021-03-31,3021
2021-06-30,3020
2021-09-30,3038
2021-12-31,3058
2022-03-31,3053
2022-06-30,3054
2022-09-30,3068
2022-12-31,3073
2023-03-31,3060
2023-06-30,3075
2023-09-30,3077
2023-12-31,3121
2024-03-31,3125
2024-06-30,3096
2024-09-30,3071
2024-12-31,3032
2025-03-31,2967
2025-06-30,10
2025-09-30,2901
